OccID,Latitude,Longitude,PROVINCE
121977,56.78333333,-33.0,UNKNOWN
121967,54.0,-50.0,UNKNOWN
121733,55.0,-40.0,UNKNOWN
121456,55.0,-45.0,UNKNOWN
121323,51.75,-44.4,UNKNOWN
121292,-10.0,-140.0,UNKNOWN
121087,52.7,-8.91666667,UNKNOWN
120706,23.41666667,-46.46666667,UNKNOWN
120684,38.71666667,-9.13333333,UNKNOWN
120542,60.53333333,-28.41666667,UNKNOWN
120360,47.0,-51.0,UNKNOWN
120351,53.35,-2.26666667,ENGLAND
120190,35.76666667,140.3833333,UNKNOWN
120074,60.41666667,-53.45,UNKNOWN
119922,46.66666667,-42.5,UNKNOWN
119845,55.0,-47.0,UNKNOWN
119764,-0.0,-47.0,UNKNOWN
119292,46.0,-30.0,UNKNOWN
119183,48.0,-38.16666667,UNKNOWN
119127,48.0,-45.0,UNKNOWN
118442,25.03888889,-77.46611111,UNKNOWN
118391,50.0,-30.0,UNKNOWN
117366,21.03666667,-86.87694444,QUINTANA ROO
116424,51.46666667,-0.45,ENGLAND
116099,0.9,-40.0,UNKNOWN
115894,25.03333333,-77.46666667,UNKNOWN
115403,53.86666667,-54.96666667,UNKNOWN
115053,55.61666667,12.65,REGION HOVEDSTADEN
115043,38.26666667,-0.55,COMUNITAT VALENCIANA
114779,53.5,-35.0,UNKNOWN
114633,59.0,-40.0,UNKNOWN
114618,32.01666667,34.88333333,מחוז המרכז
114378,51.46666667,-0.45,ENGLAND
114127,62.66666667,-40.0,UNKNOWN
114027,50.0,-50.0,UNKNOWN
113867,60.41666667,-38.63333333,UNKNOWN
113607,48.0,-50.0,UNKNOWN
113384,51.38333333,-2.71666667,ENGLAND
112927,44.66666667,-55.0,UNKNOWN
112612,50.0,-50.0,UNKNOWN
112411,58.0,-30.0,UNKNOWN
112130,40.0,-51.0,UNKNOWN
111756,19.75777778,-70.57,PUERTO PLATA
111720,48.0,-50.0,UNKNOWN
111570,51.46666667,-0.45,ENGLAND
111557,61.16666667,-45.41666667,UNKNOWN
111475,25.03888889,-77.46611111,UNKNOWN
111350,56.0,-35.0,UNKNOWN
110459,55.7558,37.6173,МОСКВА
110335,32.36666667,-64.68333333,ST. GEORGE'S
109842,52.0,-50.0,UNKNOWN
109776,50.0,-50.0,UNKNOWN
109751,50.03333333,8.56666667,HESSEN
109588,56.31666667,-58.08333333,UNKNOWN
109232,53.08333333,-54.08333333,UNKNOWN
109216,52.0,-50.0,UNKNOWN
109194,50.0,-50.0,UNKNOWN
108754,51.46666667,-0.45,ENGLAND
107821,52.0,-51.0,UNKNOWN
107801,32.35,-64.66666667,ST. GEORGE'S
107783,49.36666667,-123.45,BRITISH COLUMBIA
107684,50.43333333,-125.55,BRITISH COLUMBIA
107665,49.4,-120.9666667,BRITISH COLUMBIA
107642,49.33333333,-119.8333333,BRITISH COLUMBIA
107484,51.46666667,-0.45,ENGLAND
107320,57.0,-50.0,UNKNOWN
106969,63.0,-40.0,UNKNOWN
106857,48.0,-50.0,UNKNOWN
106695,-33.93333333,151.1666667,NEW SOUTH WALES
106636,-23.0,-47.13333333,SÃO PAULO
106506,56.0,-40.0,UNKNOWN
106043,44.0,-50.0,UNKNOWN
105269,35.86666667,-78.78333333,NORTH CAROLINA
104757,54.11666667,-56.96666667,NEWFOUNDLAND AND LABRADOR
104743,53.86666667,-54.96666667,UNKNOWN
104647,48.8566,2.3522,ÎLE-DE-FRANCE
104269,50.03333333,8.56666667,HESSEN
103788,60.0,-40.0,UNKNOWN
103622,51.0,-40.0,UNKNOWN
102921,7.18333333,79.88333333,WESTERN PROVINCE
102809,0.06666667,98.0,SUMATERA UTARA
102734,74.95,-125.0,UNKNOWN
102584,48.0,-30.0,UNKNOWN
102071,53.35,-2.26666667,ENGLAND
101941,51.15,-0.2,ENGLAND
101884,60.0,-30.0,UNKNOWN
101821,57.0,-46.0,UNKNOWN
101578,51.0,-40.0,UNKNOWN
101400,60.0,-40.0,UNKNOWN
101365,51.0,-42.0,UNKNOWN
101240,51.0,-40.0,UNKNOWN
100771,52.0,-35.0,UNKNOWN
100396,12.0561,-61.7488,UNKNOWN
99869,51.0,-32.0,UNKNOWN
99819,65.0,-60.0,UNKNOWN
99526,56.0,-59.0,UNKNOWN
99525,53.21666667,-50.8,UNKNOWN
99406,47.0,-37.0,UNKNOWN
99350,50.5,-45.0,UNKNOWN
99145,62.0,-44.0,UNKNOWN
98981,55.55,-49.53333333,UNKNOWN
98955,19.4326,-99.1332,UNKNOWN
98799,45.0,-50.0,UNKNOWN
98415,4.81666667,-52.35,GUYANE
98386,51.5074,-0.1278,ENGLAND
98020,51.46666667,-0.45,ENGLAND
97882,32.36666667,-64.68333333,ST. GEORGE'S
97780,47.5,-47.83333333,UNKNOWN
97528,48.8566,2.3522,ÎLE-DE-FRANCE
97134,47.0,-40.0,UNKNOWN
96865,52.0,-50.0,UNKNOWN
96556,56.0,-35.0,UNKNOWN
96553,50.5,-30.0,UNKNOWN
96124,19.66666667,-104.5666667,JALISCO
95989,-18.1248,178.4501,CENTRAL
95858,21.0,-86.75,UNKNOWN
95854,54.0,-50.0,UNKNOWN
95661,18.0,-70.0,UNKNOWN
95580,48.0,-45.0,UNKNOWN
95197,54.0,-30.0,UNKNOWN
94800,53.33333333,-34.16666667,UNKNOWN
94627,57.0,-36.0,UNKNOWN
94615,60.0,-45.0,UNKNOWN
94434,51.36666667,-47.66666667,UNKNOWN
94298,50.0,-30.0,UNKNOWN
94281,61.0,-40.0,UNKNOWN
94148,35.0,-8.0,UNKNOWN
94123,44.83333333,-43.08333333,UNKNOWN
93071,48.5,-32.66666667,UNKNOWN
93021,51.0,-30.0,UNKNOWN
92821,47.0,-44.0,UNKNOWN
92688,20.66666667,-105.25,JALISCO
92624,53.0,-45.0,UNKNOWN
92526,47.75,-36.0,UNKNOWN
92210,0.0,33.0,BUVUMA
91909,30.0444,31.2357,القاهرة
91559,30.0,-40.0,UNKNOWN
91534,10.06666667,100.4166667,UNKNOWN
91521,49.0,-50.0,UNKNOWN
91363,61.75,-10.66666667,UNKNOWN
91336,40.0,116.0,北京市
91210,57.0,-54.0,UNKNOWN
90732,48.0,-50.0,UNKNOWN
90695,55.7558,37.6173,МОСКВА
90686,45.5,2.5,NOUVELLE-AQUITAINE
90619,48.0,-50.0,UNKNOWN
90099,51.46666667,-100.45,MANITOBA
89988,59.0,-40.0,UNKNOWN
89610,43.13333333,-55.76666667,UNKNOWN
89428,32.0,-65.0,UNKNOWN
89414,51.0,-40.0,UNKNOWN
89361,48.16666667,-39.0,UNKNOWN
89122,31.58333333,-20.75,UNKNOWN
89019,11.0,-85.0,RÍO SAN JUAN
89018,62.5,-33.5,UNKNOWN
88689,25.033,121.5654,UNKNOWN
88465,52.0,-40.0,UNKNOWN
88384,13.7563,100.5018,UNKNOWN
88071,-11.6,-74.66666667,JUNÍN
87978,50.5,-47.0,UNKNOWN
87948,44.55,-55.48333333,UNKNOWN
87628,51.5,-48.5,UNKNOWN
87193,52.52,13.405,UNKNOWN
87167,70.0,-46.0,AVANNAATA
86589,41.35,-66.0,UNKNOWN
86378,62.75,-35.0,UNKNOWN
86376,48.66666667,-61.83333333,QUÉBEC
84981,37.46666667,42.66666667,UNKNOWN
84710,43.5,-63.5,UNKNOWN
84517,56.21666667,-55.96666667,UNKNOWN
84039,54.66666667,-37.71666667,UNKNOWN
84022,52.66666667,-9.0,UNKNOWN
83141,48.0,-50.0,UNKNOWN
83129,40.06666667,-116.5833333,NEVADA
83126,50.63333333,-55.58333333,NEWFOUNDLAND AND LABRADOR
83030,40.8,-0.5,ARAGÓN
82857,62.0,-30.0,UNKNOWN
82670,43.55,-67.0,UNKNOWN
82158,54.0,-40.0,UNKNOWN
81769,60.0,-40.0,UNKNOWN
81721,59.0,-50.0,UNKNOWN
81649,53.0,-50.0,UNKNOWN
81583,49.0,-47.0,UNKNOWN
81485,43.46666667,-42.03333333,UNKNOWN
81248,46.78333333,-43.0,UNKNOWN
