OccID,Latitude,Longitude,CountryID_DisplayEng,PROVINCE
156448,47.28,-47,CANADA,
156336,51.33333333,-43.96666667,CANADA,
156220,37.46916667,126.4505556,"KOREA, REPUBLIC OF",
156077,19.43638889,-99.07222222,MEXICO,
155851,50.3,-52.8,CANADA,
155391,43.58305556,-130.9166667,INTERNATIONAL WATERS,
155073,35.76527778,140.3855556,JAPAN,
154487,54.61666667,-34.73333333,CANADA,
154003,45.15,-48.55,CANADA,
153514,19.29277778,-81.35777778,CAYMAN ISLANDS,
153309,45.45,-48.16666667,CANADA,
153079,53.42138889,-6.27,IRELAND,
153057,12.18888889,-68.95972222,NETHERLANDS ANTILLES,
152790,57,-25,INTERNATIONAL WATERS,
152715,22.60733611,-69.2439,NETHERLANDS ANTILLES,
152662,18.50361111,-77.91333333,JAMAICA,
152516,22.38125833,-88.17565278,MEXICO,
152148,50.8,-53.7,CANADA,
151829,52.70194444,-8.92472222,IRELAND,
151731,-14.52111111,132.3777778,AUSTRALIA,
151606,12.50138889,-70.01527778,ARUBA,
151539,53.42138889,-6.27,IRELAND,
151420,58.5,-52,CANADA,
151222,19.43638889,-99.07222222,MEXICO,
151176,49.3,-37.3,CANADA,
151154,24,-70,HAITI,
151007,25.03888889,-77.46611111,BAHAMAS,
150912,19.43638889,-99.07222222,MEXICO,
150747,30.09944444,-72.80722222,DOMINICAN REPUBLIC,
150713,50.75,-47.68333333,CANADA,
150662,18.50361111,-77.91333333,JAMAICA,
150659,57.43333333,-45.78333333,CANADA,
150595,48.5,-52,CANADA,
150570,56.925,-9.5,IRELAND,
150435,38.78333333,-9.13333333,PORTUGAL,
150413,53.42138889,-6.27,IRELAND,
150350,36.89861111,30.80055556,TURKEY,
146919,13.07472222,-59.4925,BARBADOS,
146471,53,-41,CANADA,
146426,55,-40,CANADA,
146370,62,-50,CANADA,
146344,47,-30,CANADA,
146089,47,-40,INTERNATIONAL WATERS,
145973,51.7,-51.5,CANADA,
145927,45,-45,CANADA,
145911,18.5,-77.9,JAMAICA,
145877,45,-45,CANADA,
145669,78.16666667,-141,CANADA,
145619,23.58138889,-75.27055556,BAHAMAS,
145362,46,-50,CANADA,
145361,48,-50,CANADA,
144879,50,-50,CANADA,
144768,45,-45,CANADA,
144674,48,-35,CANADA,
144311,49,-36,CANADA,
144101,55,-54.66666667,CANADA,
143841,54,-50,INTERNATIONAL WATERS,
143758,54,-40,INTERNATIONAL WATERS,
