"REF_DATE","GEO","DGUID","Screened traffic","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-02","Vancouver International, British Columbia","","Non-passengers","Number","223","units","0","v1573797665","169.5","10952","","","","0"
"2019-03","Total of eight largest airports, Canada","","Total screened traffic","Number","223","units","0","v1573797666","100000.1","4698908","","","","0"
"2019-03","Total of eight largest airports, Canada","","Total passengers","Number","223","units","0","v1577191379","100000.6","4635312","","","","0"
"2019-03","Total of eight largest airports, Canada","","Domestic sector passengers","Number","223","units","0","v1573797667","100000.2","1920738","","","","0"
"2019-03","Total of eight largest airports, Canada","","Transborder sector passengers","Number","223","units","0","v1573797668","100000.3","1394862","","","","0"
"2019-03","Total of eight largest airports, Canada","","Other International sector passengers","Number","223","units","0","v1573797669","100000.4","1319712","","","","0"
"2019-03","Total of eight largest airports, Canada","","Non-passengers","Number","223","units","0","v1573797670","100000.5","63596","","","","0"
"2019-03","Halifax/Robert L Stanfield International, Nova Scotia","","Total screened traffic","Number","223","units","0","v1573797631","21.1","138912","","","","0"
"2019-03","Halifax/Robert L Stanfield International, Nova Scotia","","Total passengers","Number","223","units","0","v1577191372","21.6","135659","","","","0"
"2019-03","Halifax/Robert L Stanfield International, Nova Scotia","","Domestic sector passengers","Number","223","units","0","v1573797632","21.2","91509","","","","0"
"2019-03","Halifax/Robert L Stanfield International, Nova Scotia","","Transborder sector passengers","Number","223","units","0","v1573797633","21.3","20014","","","","0"
"2019-03","Halifax/Robert L Stanfield International, Nova Scotia","","Other International sector passengers","Number","223","units","0","v1573797634","21.4","24136","","","","0"
"2019-03","Halifax/Robert L Stanfield International, Nova Scotia","","Non-passengers","Number","223","units","0","v1573797635","21.5","3253","","","","0"
"2019-03","Montréal/Pierre Elliott Trudeau International, Quebec","","Total screened traffic","Number","223","units","0","v1573797646","87.1","734168","","","","0"
"2019-03","Montréal/Pierre Elliott Trudeau International, Quebec","","Total passengers","Number","223","units","0","v1577191375","87.6","727898","","","","0"
"2019-03","Montréal/Pierre Elliott Trudeau International, Quebec","","Domestic sector passengers","Number","223","units","0","v1573797647","87.2","206597","","","","0"
"2019-03","Montréal/Pierre Elliott Trudeau International, Quebec","","Transborder sector passengers","Number","223","units","0","v1573797648","87.3","203898","","","","0"
"2019-03","Montréal/Pierre Elliott Trudeau International, Quebec","","Other International sector passengers","Number","223","units","0","v1573797649","87.4","317403","","","","0"
"2019-03","Montréal/Pierre Elliott Trudeau International, Quebec","","Non-passengers","Number","223","units","0","v1573797650","87.5","6270","","","","0"
"2019-03","Ottawa/Macdonald-Cartier International, Ontario","","Total screened traffic","Number","223","units","0","v1573797641","76.1","220427","","","","0"
"2019-03","Ottawa/Macdonald-Cartier International, Ontario","","Total passengers","Number","223","units","0","v1577191374","76.6","215943","","","","0"
"2019-03","Ottawa/Macdonald-Cartier International, Ontario","","Domestic sector passengers","Number","223","units","0","v1573797642","76.2","145448","","","","0"
"2019-03","Ottawa/Macdonald-Cartier International, Ontario","","Transborder sector passengers","Number","223","units","0","v1573797643","76.3","38834","","","","0"
"2019-03","Ottawa/Macdonald-Cartier International, Ontario","","Other International sector passengers","Number","223","units","0","v1573797644","76.4","31661","","","","0"
"2019-03","Ottawa/Macdonald-Cartier International, Ontario","","Non-passengers","Number","223","units","0","v1573797645","76.5","4484","","","","0"
"2019-03","Toronto/Lester B Pearson International, Ontario","","Total screened traffic","Number","223","units","0","v1573797651","161.1","1697451","","","","0"
"2019-03","Toronto/Lester B Pearson International, Ontario","","Total passengers","Number","223","units","0","v1577191376","161.6","1672253","","","","0"
"2019-03","Toronto/Lester B Pearson International, Ontario","","Domestic sector passengers","Number","223","units","0","v1573797652","161.2","465245","","","","0"
"2019-03","Toronto/Lester B Pearson International, Ontario","","Transborder sector passengers","Number","223","units","0","v1573797653","161.3","607476","","","","0"
"2019-03","Toronto/Lester B Pearson International, Ontario","","Other International sector passengers","Number","223","units","0","v1573797654","161.4","599532","","","","0"
"2019-03","Toronto/Lester B Pearson International, Ontario","","Non-passengers","Number","223","units","0","v1573797655","161.5","25198","","","","0"
"2019-03","Winnipeg/James Armstrong Richardson International, Manitoba","","Total screened traffic","Number","223","units","0","v1573797656","163.1","180270","","","","0"
"2019-03","Winnipeg/James Armstrong Richardson International, Manitoba","","Total passengers","Number","223","units","0","v1577191377","163.6","178495","","","","0"
