OccID,OccNo,AcID,SurvivableEnum_DisplayEng
155225,A21P0111,69107,Yes
155225,A21P0111,69107,Yes
155225,A21P0111,69107,Yes
155212,A21W0092,69035,Yes
155210,A21P0110,69034,Yes
155204,A21Q0102,69031,Yes
155203,A21Q0101,58216,Yes
155200,A21Q0100,69027,Yes
155199,A21Q0099,69025,Yes
155197,A21Q0098,9795,Yes
155196,A21Q0097,69024,Yes
155195,A21Q0096,69023,Yes
155192,A21Q0095,68181,Yes
155190,A21W0090,69021,Yes
155189,A21W0089,69020,Yes
155186,A21Q0094,66773,Yes
155183,A21P0108,69022,Yes
155182,A21O0092,69014,
155182,A21O0092,69014,
155169,A21Q0092,63080,Yes
155165,A21P0106,45184,Yes
155165,A21P0106,63939,Yes
155162,A21P0105,69058,Yes
155155,A21O0087,68987,Yes
155149,A21Q0091,54552,Yes
155148,A21Q0090,68978,Yes
155138,A21Q0087,68969,Yes
155134,A21P0103,66131,Yes
155127,A21P0102,68962,Yes
155126,A21P0101,40669,Yes
155118,A21O0085,68961,Unknown
155112,A21W0079,68958,Yes
155112,A21W0079,68958,Yes
155110,A21W0078,68949,Yes
155101,A21W0076,65515,Yes
155094,A21Q0083,68939,Yes
155092,A21P0098,66091,Yes
155090,A21W0074,68935,Yes
155087,A21W0073,55586,Yes
155084,A21W0072,68913,Yes
155079,A21P0096,68927,Yes
155079,A21P0096,68927,Yes
155079,A21P0096,68927,Yes
155079,A21P0096,68927,Yes
155076,A21P0095,68929,Yes
155076,A21P0095,68929,Yes
155076,A21P0095,68929,Yes
155075,A21P0094,68943,Yes
155075,A21P0094,68943,Yes
155070,A21P0093,11861,Yes
155068,A21W0071,31415,No
155062,A21W0070,68905,Yes
155057,A21P0092,68896,Yes
155057,A21P0092,68896,Yes
155057,A21P0092,68896,Yes
155057,A21P0092,68896,Yes
155056,A21P0091,68922,Yes
155043,A21P0090,68891,Yes
155037,A21P0089,68892,Yes
155035,A21P0088,68893,Yes
155034,A21P0087,38939,Yes
155033,A21P0086,64810,Yes
155032,A21P0085,63617,Yes
155031,A21W0063,68920,Yes
155021,A21P0083,63403,Yes
155019,A21Q0073,57531,Yes
155016,A21Q0072,68870,Yes
155014,A21Q0071,68869,Yes
155013,A21Q0070,68868,Yes
155012,A21Q0069,67706,Yes
155010,A21P0082,68863,Yes
155005,A21O0072,68859,Yes
155004,A21Q0068,68924,Yes
155003,A21Q0067,68907,Unknown
154995,A21A0024,68865,Yes
154995,A21A0024,68865,Yes
154995,A21A0024,68865,Yes
154995,A21A0024,68865,Yes
154992,A21O0070,68833,Unknown
154988,A21Q0064,68823,Yes
154984,A21O0067,68834,
154975,A21O0066,34378,Yes
154961,A21Q0063,66670,Yes
154954,A21P0071,68815,Yes
154946,A21O0057,41731,
154938,A21P0069,67232,Yes
