REF_DATE,GEO,Screened traffic,VALUE
Jul-19,"Halifax/Robert L Stanfield International, Nova Scotia",Total passengers,182138
Jul-19,"Halifax/Robert L Stanfield International, Nova Scotia",Domestic sector passengers,153881
Jul-19,"Halifax/Robert L Stanfield International, Nova Scotia",Transborder sector passengers,18823
Jul-19,"Halifax/Robert L Stanfield International, Nova Scotia",Other International sector passengers,9434
Jul-19,"Halifax/Robert L Stanfield International, Nova Scotia",Non-passengers,4689
Jul-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Total screened traffic,890731
Jul-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Total passengers,857527
Jul-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Domestic sector passengers,258741
Jul-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Transborder sector passengers,218903
Jul-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Other International sector passengers,379883
Jul-19,"Montréal/Pierre Elliott Trudeau International, Quebec",Non-passengers,33204
Jul-19,"Ottawa/Macdonald-Cartier International, Ontario",Total screened traffic,214876
Jul-19,"Ottawa/Macdonald-Cartier International, Ontario",Total passengers,211085
Jul-19,"Ottawa/Macdonald-Cartier International, Ontario",Domestic sector passengers,175096
Jul-19,"Ottawa/Macdonald-Cartier International, Ontario",Transborder sector passengers,25546
Jul-19,"Ottawa/Macdonald-Cartier International, Ontario",Other International sector passengers,10443
Jul-19,"Ottawa/Macdonald-Cartier International, Ontario",Non-passengers,3791
Jul-19,"Toronto/Lester B Pearson International, Ontario",Total screened traffic,1995089
Jul-19,"Toronto/Lester B Pearson International, Ontario",Total passengers,1975077
Jul-19,"Toronto/Lester B Pearson International, Ontario",Domestic sector passengers,654425
Jul-19,"Toronto/Lester B Pearson International, Ontario",Transborder sector passengers,645944
Jul-19,"Toronto/Lester B Pearson International, Ontario",Other International sector passengers,674708
Jul-19,"Toronto/Lester B Pearson International, Ontario",Non-passengers,20012
Jul-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Total screened traffic,190279
Jul-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Total passengers,188895
Jul-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Domestic sector passengers,169648
Jul-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Transborder sector passengers,18442
Jul-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Other International sector passengers,805
Jul-19,"Winnipeg/James Armstrong Richardson International, Manitoba",Non-passengers,1384
Jul-19,"Calgary International, Alberta",Total screened traffic,648347
Jul-19,"Calgary International, Alberta",Total passengers,642235
Jul-19,"Calgary International, Alberta",Domestic sector passengers,409015
Jul-19,"Calgary International, Alberta",Transborder sector passengers,173294
Jul-19,"Calgary International, Alberta",Other International sector passengers,59926
Jul-19,"Calgary International, Alberta",Non-passengers,6112
Jul-19,"Edmonton International, Alberta",Total screened traffic,331651
Jul-19,"Edmonton International, Alberta",Total passengers,325128
Jul-19,"Edmonton International, Alberta",Domestic sector passengers,285752
Jul-19,"Edmonton International, Alberta",Transborder sector passengers,30279
Jul-19,"Edmonton International, Alberta",Other International sector passengers,9097
Jul-19,"Edmonton International, Alberta",Non-passengers,6523
Jul-19,"Vancouver International, British Columbia",Total screened traffic,1058364
Jul-19,"Vancouver International, British Columbia",Total passengers,1039810
Jul-19,"Vancouver International, British Columbia",Domestic sector passengers,438165
Jul-19,"Vancouver International, British Columbia",Transborder sector passengers,330765
Jul-19,"Vancouver International, British Columbia",Other International sector passengers,270880
Jul-19,"Vancouver International, British Columbia",Non-passengers,18554
Aug-19,"Total of eight largest airports, Canada",Total screened traffic,5530693
Aug-19,"Total of eight largest airports, Canada",Total passengers,5461231
